id,company_id,bank_id,account,name
14325,7087,3,1403050005586258,SPLONUM DD SANSKI MOST
14326,7087,16,1610350008540019,SPLONUM DD SANSKI MOST
14327,7087,6,1990440001220843,SPLONUM DD
14328,7087,6,1990440101220859,SPLONUM DD
14329,7087,17,3060450000012509,"""SPLONUM"" D.D. DIONIČKO DRUŠTVO ZA PROIZVODNJU"
14330,7088,6,1990440001265269,FAAH COMERC DOO
14331,7089,16,1610350034330088,MEDIC GRATUS DOO SANSKI MOST
14332,7089,6,1990440001848724,MEDIĆ GRATUS DOO
14333,7090,6,1990440002021481,TRGOIMPEX DOO
14334,7091,6,1990440001200182,FILES DD
14335,7092,16,1610350005980092,UNA- SA DOO BOSANSKA KRUPA
14336,7092,28,1985011010007098,UNA-SA D.O.O
14337,7092,6,1990450002012508,UNA SA D.O.O.
14338,7092,17,3060610000576750,"UNA - SA DOO ZA PROIZVODNJU,TRGOVINU I USLUGE BOSA NSKA KRUPA"
14339,7092,1,3385302200568773,"UNA - SA D O O BOSANSKA K O O -D O O ZA PROIZVODNJU TRGOVINU I USLUGE "" UNA- SA"" B KRUPA"
14340,7093,6,1990440002005573,PILATUS SANSKI MOST
14341,7094,16,1610350016740011,MEDITERAN DOO CAZIN
14342,7094,14,1941070117200149,MEDITERAN DOO
14343,7094,1,3385202200041680,"MEDITERAN D O O CAZIN-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA TRGOVINU I USLUGE EXPORT-IMPORT ""MED"
14344,7096,16,1610350008080045,GALERIJA DOO CAZIN
14345,7096,14,1941070446700128,GALERIJA DOO
14346,7096,1,3385202200170981,GALERIJA D O O CAZINDRU TVO SA OGRANI ENOM ODGOVORNO U ZA TRGOVINU GRAŠEVINARSTVO UGOSTITELJSTV
14347,7096,1,3389002211069032,GALERIJA D O O CAZINDRU TVO SA OGRANI ENOM ODGOVORNO U ZA TRGOVINU GRAŠEVINARSTVO UGOSTITELJSTV
14348,7097,3,1403050005516418,"D.O.O. ""H-M-S"" ZA TRGOVINU,UGOSTITELJSTVO,EXPORT- IMPORT SANSKI MOST"
14349,7097,1,3385402200009272,"H-M-S D O O SANSKI MOST-D O O "" H-M-S "" ZA TRGOVINU UGOSTITELJSTVO GRA EVINARSTVO I USLUGE EXPORT"
14350,7097,8,5620070000117522,HMS DOO SANSKI MOST
14351,7098,14,1940034480400172,R-COMERC DOO
14352,7099,16,1610350021660045,HUREMAGIĆ DOO CAZIN
14353,7099,15,1872000009791283,HUREMAGIC DOO CAZIN
14354,7100,21,1414010000470803,AUTOCOMERC DD
14355,7100,16,1610350004370086,AUTOCOMERC DD BIHAĆ
14356,7100,6,1990450002326594,AUTOCOMERC D.D. SA P.O.
14357,7100,17,3060610000143936,AUTOCOMERC DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BIH AĆ
14358,7100,1,3385002200785098,AUTOCOMERC DRU▯TVO SA OGRANI▯ENOM ODGOVORNO▯▯U BIHA▯
14359,7101,16,1610350015120014,INSTALACIJA DOO SANSKI MOST
14360,7101,6,1990440001189803,INSTALACIJA DOO
14361,7101,17,3060630000598671,INSTALACIJA DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU SANSKI MOST
14362,7102,14,1940034711200129,WXG DOO
14363,7103,1,3385302200220737,AA - ELEKTRA D O O BOSANS-DRU TVO SA OGRANI ENOM ODGOVORNO U ZA PROIZVODNJU PRU ANJE USLUGA EXP
14364,7104,6,1990440001220649,BLISK DOO
14365,7105,14,1941032682400168,ZHOU SHI DOO
14366,7105,1,3385002200721757,ZHOU SHI D O O ZA PROIZVODNJU TRGOVINU I USLUGE BIHAĆ
14367,7106,1,3385002200281959,"ADMS-ADILOVI DOO B PETROVAC-DRU TVO SA OGRANI ENOM ODGOVORNO U "" ADAMS- ADILOVI "" EXPORT-IMPORT BO"
14368,7107,16,1610350006600019,VELSAR DOO VELIKA KLADUSA
14369,7107,6,1990450042037812,VELSAR D.O.O.PROIZVODNO PROMETNO I USLUŽNO PREDUZE
14370,7107,17,3060610000397785,VELSAR DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PROIZVODNO-PROMETNO I USLUŽNO PR.V.KLADUŠA
14371,7107,1,3385102200001624,"VELSAR D O O VELIKA KLADU-DRU TVO SA OGRANI ENOM ODGOVORNO U "" VELSAR "" PROIZVODNO-PROMETNO I USL"
14372,7108,16,1610350010660051,FORMA DOO VELIKA KLADUŠA
14373,7108,28,1980011010012780,FORMA D.O.O.
14374,7108,1,3385102200168561,"FORMA D O O VELIKA KLADUŠA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" FORMA "" ZA TRGOVINU I USLUGE V KL"
14375,7109,16,1610350015380071,IRFAN KADIĆ DOO BOS. KRUPA
14376,7109,28,1985011010002151,IRFAN KADIĆ D.O.O.
14377,7109,1,3385302200040511,"IRFAN KADI D O O BOSANSK-DRU TVO SA OGRANI ENOM ODGOVORNO U "" IRFAN KADI "" BOSANSKA KRUPA"
14378,7110,28,1980011010017630,PARA-MOND D.O.O.
14379,7111,6,1990450002304187,PRTA COMERC D.O.O.
